"Номер в оригинальном списке " Name "Corotation rad" Единицы "Ошибка снизу" "Ошибка сверху" "Dist, Mpc" Data "Pattern speed, (km/s/kpc)" "Ошибка снизу" "Ошибка сверху" "Это бар?" Method Ссылка
[125] "NGC 224" 4188 arcsec 0.00 0.00 "0.67
(Mpc) " "H II
" "NaN
" 0 0 "нет
" "McCall (1982)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
"
[76] "NGC 598" 1518 arcsec 0.00 0.00 "0.72
(Mpc)" "H II
" "NaN
" 0 0 "нет
" "McCall (1985)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
https://ui.adsabs.harvard.edu/abs/1985ApJS...57....1M/abstract"
"[92] " "NGC 598" 1080 arcsec 0.00 0.00 "0.76
(Mpc)" "H II
" "28
(km/s/kpc)" 0 0 "нет
" "Puerari (1993)
" "https://ui.adsabs.harvard.edu/abs/1993PASP..105.1290P/abstract
"
[21] "NGC 598" 1800 arcsec 0.00 0.00 "NaN
" "H II
" "15
(km/s/kpc)" 0 0 "нет
" "Courtes & Dubout-Crillon (1971)
" "https://ui.adsabs.harvard.edu/abs/1971A%26A....11..468C/abstract
https://ui.adsabs.harvard.edu/abs/1993PASP..105.1290P/abstract"
[19] "NGC 628" 141 arcsec 0.00 0.00 "7.21
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "Cepa & Beckman (1990)
" "https://ui.adsabs.harvard.edu/abs/1990Ap%26SS.170..209C/abstract
https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract"
"[76] " "NGC 2403" 294 arcsec 0.00 0.00 "3.2
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "McCall (1985)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
https://ui.adsabs.harvard.edu/abs/1985ApJS...57....1M/abstract"
"[76] " "NGC 2903" "139.8 " arcsec 0.00 0.00 "7.52
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "McCall (1985)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
https://ui.adsabs.harvard.edu/abs/1985ApJS...57....1M/abstract"
"[76] " "NGC 5055" 184.2 arcsec 0.00 0.00 "6.82
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "McCall (1985)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
https://ui.adsabs.harvard.edu/abs/1985ApJS...57....1M/abstract"
"[76] " "NGC 5194" 233.4 arcsec 0.00 0.00 "7.9
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "McCall (1985)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
https://ui.adsabs.harvard.edu/abs/1985ApJS...57....1M/abstract"
"[125] " "NGC 5236" 205.2 arcsec 0.00 0.00 "3.8
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "McCall (1982)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
"
"[76] " "NGC 5457" 467.4 arcsec 0.00 0.00 "4.1
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "McCall (1985)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
https://ui.adsabs.harvard.edu/abs/1985ApJS...57....1M/abstract"
"[76] " "NGC 6946" 250.8 arcsec 0.00 0.00 "5.9
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "McCall (1985)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
https://ui.adsabs.harvard.edu/abs/1985ApJS...57....1M/abstract"
"[76] " "IC 342" 910.2 arcsec 0.00 0.00 "2.7
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "McCall (1985)
" "https://ui.adsabs.harvard.edu/abs/1992MNRAS.259..121V/abstract
https://ui.adsabs.harvard.edu/abs/1985ApJS...57....1M/abstract"
[124] "NGC 1365" 112.66 arcsec 8.30 8.30 "0.1074
(kpc/'')" "H II
" "25.0
(km/s/kpc)" 1.8999999999999999 1.8999999999999999 "нет
" "Vera-Villamizar et al. (2001)
" "https://ui.adsabs.harvard.edu/abs/2001ApJ...547..187V/abstract
"
[124] "NGC 1566" 97.20 arcsec 4.10 4.10 "0.0967
(kpc/'')" "H II
" "12.2
(km/s/kpc)" 0.9 0.9 "нет
" "Vera-Villamizar et al. (2001)
" "https://ui.adsabs.harvard.edu/abs/2001ApJ...547..187V/abstract
"
[124] "NGC 2997" 95.89 arcsec 0.00 0.00 "0.073
(kpc/'')" "H II
" "17.6
(km/s/kpc)" 0 0 "нет
" "Vera-Villamizar et al. (2001)
" "https://ui.adsabs.harvard.edu/abs/2001ApJ...547..187V/abstract
"
[1] "NGC 7479" 60 arcsec 0.00 0.00 "NaN
" "NaN
" "NaN
" 0 0 "нет
" "Aguerri et al. (1996)
" "https://ui.adsabs.harvard.edu/abs/1996ASPC...91..557A/abstract
"
[2] "NGC 1300" 100 arcsec 10.00 10.00 "NaN
" "NaN
" "NaN
" 0 0 "нет
" "Aguerri et al. (2000) 
" "https://ui.adsabs.harvard.edu/abs/2000A%26A...361..841A/abstract
"
[2] "NGC 7479" 63 arcsec 0.00 0.00 "NaN
" "NaN
" "NaN
" 0 0 "нет
" "Aguerri et al. (2000) 
" "https://ui.adsabs.harvard.edu/abs/2000A%26A...361..841A/abstract
"
[2] "NGC 7723" 23 arcsec 0.00 0.00 "NaN
" "NaN
" "NaN
" 0 0 "нет
" "Aguerri et al. (2000) 
" "https://ui.adsabs.harvard.edu/abs/2000A%26A...361..841A/abstract
"
[14] "NGC 4321" 98 arcsec 10.00 10.00 "17.1
(Mpc)" "H I, H alpha
" "2.5
(km/s/arcsec)" 0 0 "нет
" "Canzian & Allen (1997)
" "https://ui.adsabs.harvard.edu/abs/1997ApJ...479..723C/abstract
"
[96] "NGC 157" 77.35 arcsec 0.00 0.00 "24.0
(Mpc)" "H II
" "22.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 224" 4185.08 arcsec 0.00 0.00 "0.69
(Mpc)" "H II
" "18.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 598" 802.14 arcsec 0.00 0.00 "0.72
(Mpc)" "H II
" "32.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 925" 233.56 arcsec 0.00 0.00 "6.8
(Mpc)" "H II
" "14.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 972" 37.33 arcsec 0.00 0.00 "22.1
(Mpc)" "H II
" "29.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 1084" 55.86 arcsec 0.00 0.00 "19.2
(Mpc)" "H II
" "27.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 1832" 48.91 arcsec 0.00 0.00 "25.3
(Mpc)" "H II
" "31.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 2403" 304.63 arcsec 0.00 0.00 "3.25
(Mpc)" "H II
" "25.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 2903" 140.99 arcsec 0.00 0.00 "7.9
(Mpc)" "H II
" "38.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 3031" 625.24 arcsec 0.00 0.00 "3.2
(Mpc)" "H II
" "26.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 3109" 562.54 arcsec 0.00 0.00 "2.2
(Mpc)" "H II
" "8.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 3389" 35.75 arcsec 0.00 0.00 "15.0
(Mpc)" "H II
" "65.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 3521" 177.14 arcsec 0.00 0.00 "8.5
(Mpc)" "H II
" "33.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
